instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,hum_actual,windspeed_actual,day_temp_actual,day_hum_actual,day_windspeed_actual,day_cnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,3.2799999999999994,81.0,0.0,14.110847,80.58330000000001,10.749882,985
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2.34,80.0,0.0,14.110847,80.58330000000001,10.749882,985
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2.34,80.0,0.0,14.110847,80.58330000000001,10.749882,985
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,3.2799999999999994,75.0,0.0,14.110847,80.58330000000001,10.749882,985
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,3.2799999999999994,75.0,0.0,14.110847,80.58330000000001,10.749882,985
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,3.2799999999999994,75.0,6.0032,14.110847,80.58330000000001,10.749882,985
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2.34,80.0,0.0,14.110847,80.58330000000001,10.749882,985
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1.4000000000000004,86.0,0.0,14.110847,80.58330000000001,10.749882,985
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,3.2799999999999994,75.0,0.0,14.110847,80.58330000000001,10.749882,985
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,7.040000000000001,76.0,0.0,14.110847,80.58330000000001,10.749882,985
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,9.86,76.0,16.997899999999998,14.110847,80.58330000000001,10.749882,985
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,8.919999999999998,81.0,19.0012,14.110847,80.58330000000001,10.749882,985
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,11.739999999999998,77.0,19.0012,14.110847,80.58330000000001,10.749882,985
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,13.620000000000001,72.0,19.999499999999998,14.110847,80.58330000000001,10.749882,985
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,13.620000000000001,72.0,19.0012,14.110847,80.58330000000001,10.749882,985
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,12.68,77.0,19.999499999999998,14.110847,80.58330000000001,10.749882,985
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,11.739999999999998,82.0,19.999499999999998,14.110847,80.58330000000001,10.749882,985
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,12.68,82.0,19.0012,14.110847,80.58330000000001,10.749882,985
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,11.739999999999998,88.0,16.997899999999998,14.110847,80.58330000000001,10.749882,985
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,11.739999999999998,88.0,16.997899999999998,14.110847,80.58330000000001,10.749882,985
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,10.8,87.0,16.997899999999998,14.110847,80.58330000000001,10.749882,985
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,10.8,87.0,12.998000000000001,14.110847,80.58330000000001,10.749882,985
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,10.8,94.0,15.001299999999999,14.110847,80.58330000000001,10.749882,985
